eQkpaikka;tili;Kausi;period;eur
5511;53830;2020;10;-15474,54
5511;53835;2020;10;4345,69
5511;5389;2020;10;553,8
5511;54315;2020;10;1578,4
5511;54415;2020;10;5573,67
5511;54455;2020;10;2987,47
5511;54475;2020;10;402,26
5511;54485;2020;10;1345,79
5511;54505;2020;10;52,63
5511;54535;2020;10;420,71
5511;54800;2020;10;15474,54
5511;54805;2020;10;327,57
5511;55315;2020;10;695,46
5511;56315;2020;10;3094,92
5511;56325;2020;10;880,34
5511;56805;2020;10;1118,43
5511;57005;2020;10;3012,75
5511;58005;2020;10;2383,68
5511;59005;2020;10;12222,76
5511;60005;2020;10;1402,28
5511;6110;2020;10;-444,89
5511;61105;2020;10;150,44
5511;62190;2020;10;96,35
5511;65415;2020;10;931,85
5511;65505;2020;10;3536,43
5511;65705;2020;10;471,71
5512;31023;2020;10;-63167,91
5512;31093;2020;10;-14141,18
5512;5377;2020;10;22,01
5512;54310;2020;10;520,49
5512;54410;2020;10;25
5512;55310;2020;10;803,72
5512;57000;2020;10;1898,97
5512;59000;2020;10;395,07
5512;6110;2020;10;-130,34
5512;61100;2020;10;34,63
5512;64700;2020;10;1745,9
5512;65320;2020;10;759,34
5512;65330;2020;10;1020,97
5513;13820;2020;10;20042,73
5513;13825;2020;10;-19871,83
5513;31020;2020;10;-281,13
5513;31023;2020;10;-167389,62
5513;31040;2020;10;-2023,68
5513;31093;2020;10;-37439,84
5513;32060;2020;10;-17618,39
5513;32190;2020;10;-496
5513;34193;2020;10;-894,04
5513;53315;2020;10;7406,52
5513;53705;2020;10;822,12
5513;5377;2020;10;39,64
5513;5378;2020;10;8,88
5513;53835;2020;10;1190,4
5513;54315;2020;10;3447,32
5513;54335;2020;10;546,04
5513;54415;2020;10;1163,5
5513;54455;2020;10;591,43
5513;54475;2020;10;86,8
5513;54485;2020;10;136,4
5513;54645;2020;10;582,89
5513;54805;2020;10;783,31
5513;55315;2020;10;4597,73
5513;55325;2020;10;209,51
5513;56325;2020;10;3571,2
5513;56465;2020;10;-10,84
5513;57005;2020;10;7121,6
5513;58005;2020;10;4486,82
5513;59005;2020;10;42067,98
5513;60005;2020;10;774,69
5513;60405;2020;10;1692
5513;60805;2020;10;796,55
5513;6110;2020;10;-2639,12
5513;61105;2020;10;1376,18
5513;64605;2020;10;348,44
5513;64625;2020;10;1632,44
5513;65325;2020;10;264,41
5513;65505;2020;10;2111,69
5513;67505;2020;10;24341,2
5513;80224;2020;10;-0,48
